fecha,positividad_bac,positividad_no_bac,codigo_provincia,provincia
2020-09-28,0.037889039242219216,0.1411682892906815,73,Curicó
2020-09-29,0.052653061224489796,0.12297734627831715,73,Curicó
2020-09-30,0.05273833671399594,0.10688989053444946,73,Curicó
2020-10-01,0.05353319057815846,0.09575185434929198,73,Curicó
2020-10-02,0.05386138613861386,0.07810413885180241,73,Curicó
2020-10-03,0.055349029326724496,0.07475490196078431,73,Curicó
2020-10-04,0.052858261550509,0.07311456534254462,73,Curicó
2020-10-05,0.05301410859341599,0.07575757575757576,73,Curicó
2020-10-06,0.03759398496240601,0.07951482479784366,73,Curicó
2020-10-07,0.032403240324032405,0.08426966292134831,73,Curicó
2020-10-08,0.036066981537140406,0.07919547454431175,73,Curicó
2020-10-09,0.033364226135310475,0.08982826948480846,73,Curicó
2020-10-10,0.03796844181459566,0.09084556254367575,73,Curicó
2020-10-11,0.03764320785597381,0.10022271714922049,73,Curicó
2020-10-12,0.03970504821327283,0.11085972850678733,73,Curicó
2020-10-13,0.04055690072639225,0.11013858497447118,73,Curicó
2020-10-14,0.038345864661654135,0.11293260473588343,73,Curicó
2020-10-15,0.04905395935529082,0.1152115211521152,73,Curicó
2020-10-16,0.04743833017077799,0.11012433392539965,73,Curicó
2020-10-17,0.04553624925104853,0.11435941530524506,73,Curicó
2020-10-18,0.044902912621359224,0.10466138962181179,73,Curicó
2020-10-19,0.04440389294403893,0.09688888888888889,73,Curicó
2020-10-20,0.04522613065326633,0.09343434343434344,73,Curicó
2020-10-21,0.040594059405940595,0.09392712550607288,73,Curicó
2020-10-22,0.035227806481916396,0.09375,73,Curicó
2020-10-23,0.039701074264362445,0.0910569105691057,73,Curicó
2020-10-24,0.043154761904761904,0.0819277108433735,73,Curicó
2020-10-25,0.043859649122807015,0.081214109926169,73,Curicó
2020-10-26,0.04206098843322818,0.0728744939271255,73,Curicó
2020-10-27,0.040948275862068964,0.07165605095541401,73,Curicó
2020-10-28,0.055113636363636365,0.06738131699846861,73,Curicó
2020-10-29,0.05408970976253298,0.0639488409272582,73,Curicó
2020-10-30,0.04939106901217862,0.05568814638027048,73,Curicó
2020-10-31,0.03522867737948084,0.05420267085624509,73,Curicó
2020-11-01,0.036174126302881665,0.056431535269709544,73,Curicó
2020-11-02,0.03760356915232632,0.05676126878130217,73,Curicó
2020-11-03,0.039795338260375214,0.05840071877807727,73,Curicó
2020-11-04,0.029733009708737865,0.06068601583113457,73,Curicó
2020-11-05,0.026706231454005934,0.07167235494880546,73,Curicó
2020-11-06,0.026114649681528664,0.0779109589041096,73,Curicó
2020-11-07,0.0350140056022409,0.08074534161490683,73,Curicó
2020-11-08,0.031308703819661866,0.07672634271099744,73,Curicó
2020-11-09,0.03389830508474576,0.0797598627787307,73,Curicó
2020-11-10,0.028275862068965516,0.07890499194847021,73,Curicó
2020-11-11,0.03277674706246135,0.08339952343129468,73,Curicó
2020-11-12,0.03385579937304075,0.07401315789473684,73,Curicó
2020-11-13,0.029354207436399216,0.07113316790736146,73,Curicó
2020-11-14,0.027694160144491272,0.06472491909385113,73,Curicó
2020-11-15,0.032642812303829254,0.06491372226787182,73,Curicó
2020-11-16,0.030456852791878174,0.06336311941510966,73,Curicó
2020-11-17,0.03088803088803089,0.05486284289276808,73,Curicó
2020-11-18,0.02821522309711286,0.051011433597185574,73,Curicó
2020-11-19,0.024437299035369776,0.05391743892165122,73,Curicó
2020-11-20,0.02699530516431925,0.05108225108225108,73,Curicó
2020-11-21,0.021238938053097345,0.05309734513274336,73,Curicó
2020-11-22,0.01691948658109685,0.05472197705207414,73,Curicó
2020-11-23,0.017431725740848343,0.05516637478108581,73,Curicó
2020-11-24,0.015657620041753653,0.05921601334445371,73,Curicó
2020-11-25,0.015503875968992248,0.052759740259740256,73,Curicó
2020-11-26,0.016357688113413305,0.04953820319059614,73,Curicó
2020-11-27,0.01789838337182448,0.05781758957654723,73,Curicó
2020-11-28,0.02711426726920594,0.06100577081615829,73,Curicó
2020-11-29,0.028314917127071824,0.060926076360682375,73,Curicó
2020-11-30,0.027662517289073305,0.05958132045088567,73,Curicó
2020-12-01,0.03576751117734724,0.06010016694490818,73,Curicó
2020-12-02,0.03543586109142452,0.060759493670886074,73,Curicó
2020-12-03,0.039313795568263046,0.057803468208092484,73,Curicó
2020-12-04,0.04044117647058824,0.05704971475142624,73,Curicó
2020-12-05,0.046263345195729534,0.06112054329371817,73,Curicó
2020-12-06,0.06294155427103404,0.08376963350785341,73,Curicó
2020-12-07,0.06387096774193549,0.09104477611940298,73,Curicó
2020-12-08,0.06222222222222222,0.09527559055118111,73,Curicó
2020-12-09,0.07202797202797202,0.10583941605839416,73,Curicó
2020-12-10,0.061224489795918366,0.12012241775057383,73,Curicó
2020-12-11,0.05636978579481398,0.1325581395348837,73,Curicó
2020-12-12,0.04594330400782014,0.13896457765667575,73,Curicó
2020-12-13,0.032481593763533996,0.13543859649122808,73,Curicó
2020-12-14,0.03532717784022481,0.13821138211382114,73,Curicó
2020-12-15,0.03517994338859685,0.14426028238182934,73,Curicó
2020-12-16,0.043968432919954906,0.15331664580725907,73,Curicó
2020-12-17,0.05115001716443529,0.15891032917139614,73,Curicó
2020-12-18,0.053955744164898456,0.15507169410515134,73,Curicó
2020-12-19,0.059819083746717246,0.1525957000524384,73,Curicó
2020-12-20,0.06738623103850641,0.14963880288957687,73,Curicó
2020-12-21,0.066189111747851,0.15464452516865596,73,Curicó
2020-12-22,0.0713877784123358,0.15701219512195122,73,Curicó
2020-12-23,0.07193031750491712,0.15938430983118174,73,Curicó
2020-12-24,0.08215467950647005,0.1679467485919099,73,Curicó
2020-12-25,0.08401826484018265,0.1722134178552562,73,Curicó
2020-12-26,0.09332509270704574,0.19236969371305748,73,Curicó
2020-12-27,0.09680605861047085,0.21179624664879357,73,Curicó
2020-12-28,0.10021321961620469,0.22518676627534684,73,Curicó
2020-12-29,0.10065645514223195,0.22470160871821485,73,Curicó
2020-12-30,0.10191972076788831,0.24032176973353445,73,Curicó
2020-12-31,0.10148902821316615,0.23591745677635248,73,Curicó
2021-01-01,0.1,0.24776680771039022,73,Curicó
2021-01-02,0.10407383831954169,0.2518847006651885,73,Curicó
2020-07-01,0.0,0.1452513966480447,74,Linares
2020-07-02,0.0,0.15443037974683543,74,Linares
2020-07-03,0.0,0.16218487394957984,74,Linares
2020-07-04,0.0,0.16624040920716113,74,Linares
2020-07-05,0.0,0.17145343777197564,74,Linares
2020-07-06,0.0,0.16295025728987994,74,Linares
2020-07-07,,0.1737943585077343,74,Linares
