"semana_epidemiologica","grupo_edad","tasa_incidencia","tasa_incidencia_categoria"
35,"00 - 09 años",23.334165059494,"(7, 35]"
35,"10 - 19 años",33.9361454003455,"(7, 35]"
35,"20 - 29 años",83.3999498112749,"(70, 150]"
35,"30 - 39 años",83.5243584672818,"(70, 150]"
35,"40 - 49 años",73.362051846081,"(70, 150]"
35,"50 - 59 años",81.3536092857887,"(70, 150]"
35,"60 - 69 años",67.0176640602394,"(35, 70]"
35,"70 - 79 años",61.5740081470235,"(35, 70]"
35,"80 años o más",79.3659501786648,"(70, 150]"
36,"00 - 09 años",23.9003319760156,"(7, 35]"
36,"10 - 19 años",35.4804974080625,"(35, 70]"
36,"20 - 29 años",82.7208497934242,"(70, 150]"
36,"30 - 39 años",82.963570910432,"(70, 150]"
36,"40 - 49 años",74.2022211019965,"(70, 150]"
36,"50 - 59 años",77.8513532843777,"(70, 150]"
36,"60 - 69 años",66.5742055718342,"(35, 70]"
36,"70 - 79 años",71.7026316370062,"(70, 150]"
36,"80 años o más",74.9770497079552,"(70, 150]"
37,"00 - 09 años",20.9886164053335,"(7, 35]"
37,"10 - 19 años",36.6288617214931,"(35, 70]"
37,"20 - 29 años",77.9348115723817,"(70, 150]"
37,"30 - 39 años",81.446145756603,"(70, 150]"
37,"40 - 49 años",71.4525762644547,"(70, 150]"
37,"50 - 59 años",76.1635190668302,"(70, 150]"
37,"60 - 69 años",62.5276468651365,"(35, 70]"
37,"70 - 79 años",60.972307741678,"(35, 70]"
37,"80 años o más",68.7594407077834,"(35, 70]"
38,"00 - 09 años",19.4923181259552,"(7, 35]"
38,"10 - 19 años",28.4715152191931,"(7, 35]"
38,"20 - 29 años",65.096587425396,"(35, 70]"
38,"30 - 39 años",63.9957564875698,"(35, 70]"
38,"40 - 49 años",56.1767716114446,"(35, 70]"
38,"50 - 59 años",60.6776401208321,"(35, 70]"
38,"60 - 69 años",52.1618046986644,"(35, 70]"
38,"70 - 79 años",54.9553036882229,"(35, 70]"
38,"80 años o más",56.8728352662782,"(35, 70]"
39,"00 - 09 años",24.3047369163881,"(7, 35]"
39,"10 - 19 años",40.7075349726432,"(35, 70]"
39,"20 - 29 años",84.3377545978305,"(70, 150]"
39,"30 - 39 años",83.7882584940347,"(70, 150]"
39,"40 - 49 años",76.8372974046408,"(70, 150]"
39,"50 - 59 años",80.7628673096471,"(70, 150]"
39,"60 - 69 años",67.0176640602394,"(35, 70]"
39,"70 - 79 años",62.8776923586054,"(35, 70]"
39,"80 años o más",76.6228873844713,"(70, 150]"
40,"00 - 09 años",22.687117154898,"(7, 35]"
40,"10 - 19 años",41.3015165140728,"(35, 70]"
40,"20 - 29 años",71.0791352016992,"(70, 150]"
40,"30 - 39 años",71.3519697333059,"(70, 150]"
40,"40 - 49 años",69.8868062875212,"(35, 70]"
40,"50 - 59 años",68.3572858106731,"(35, 70]"
40,"60 - 69 años",60.698380600465,"(35, 70]"
40,"70 - 79 años",54.3536032828774,"(35, 70]"
40,"80 años o más",59.9816397663642,"(35, 70]"
41,"00 - 09 años",20.7055329470727,"(7, 35]"
41,"10 - 19 años",34.8865158666329,"(7, 35]"
41,"20 - 29 años",70.1413304151435,"(70, 150]"
41,"30 - 39 años",68.020231895551,"(35, 70]"
41,"40 - 49 años",61.6760612865283,"(35, 70]"
41,"50 - 59 años",67.5133687018994,"(35, 70]"
41,"60 - 69 años",55.4877433617036,"(35, 70]"
41,"70 - 79 años",56.8606883051504,"(35, 70]"
41,"80 años o más",57.4214478251169,"(35, 70]"
42,"00 - 09 años",20.4628899828492,"(7, 35]"
42,"10 - 19 años",30.3722561517678,"(7, 35]"
42,"20 - 29 años",64.4498255036335,"(35, 70]"
42,"30 - 39 años",67.2285318152924,"(35, 70]"
42,"40 - 49 años",60.8358920306127,"(35, 70]"
42,"50 - 59 años",63.1671955917146,"(35, 70]"
42,"60 - 69 años",52.9932893644242,"(35, 70]"
42,"70 - 79 años",55.7575708953503,"(35, 70]"
42,"80 años o más",60.7131231781491,"(35, 70]"
43,"00 - 09 años",19.6136396080669,"(7, 35]"
43,"10 - 19 años",32.668984778629,"(7, 35]"
43,"20 - 29 años",66.1637445963041,"(35, 70]"
43,"30 - 39 años",66.3708567283456,"(35, 70]"
43,"40 - 49 años",59.0791744955165,"(35, 70]"
43,"50 - 59 años",58.3990639271429,"(35, 70]"
43,"60 - 69 años",51.5520492771072,"(35, 70]"
43,"70 - 79 años",47.9354656258587,"(35, 70]"
43,"80 años o más",46.2663257953968,"(35, 70]"
44,"00 - 09 años",18.2386628108004,"(7, 35]"
44,"10 - 19 años",30.3722561517678,"(7, 35]"
44,"20 - 29 años",61.1836777987329,"(35, 70]"
44,"30 - 39 años",64.4905690377314,"(35, 70]"
44,"40 - 49 años",54.3054855414509,"(35, 70]"
44,"50 - 59 años",58.9054141924072,"(35, 70]"
44,"60 - 69 años",49.1130275908785,"(35, 70]"
44,"70 - 79 años",48.737732832986,"(35, 70]"
44,"80 años o más",53.9469016191385,"(35, 70]"
45,"00 - 09 años",18.8048297273219,"(7, 35]"
45,"10 - 19 años",31.0058364626261,"(7, 35]"
45,"20 - 29 años",63.7707254857829,"(35, 70]"
45,"30 - 39 años",63.7648439641611,"(35, 70]"
45,"40 - 49 años",52.8160945877824,"(35, 70]"
45,"50 - 59 años",60.9308152534642,"(35, 70]"
45,"60 - 69 años",52.0509400765631,"(35, 70]"
45,"70 - 79 años",47.3337652205132,"(35, 70]"
45,"80 años o más",61.4446065899341,"(35, 70]"
46,"00 - 09 años",20.4224494888119,"(7, 35]"
46,"10 - 19 años",31.7582130817703,"(7, 35]"
46,"20 - 29 años",64.4498255036335,"(35, 70]"
46,"30 - 39 años",65.1503191046136,"(35, 70]"
46,"40 - 49 años",55.4511708904267,"(35, 70]"
46,"50 - 59 años",59.4117644576714,"(35, 70]"
46,"60 - 69 años",50.6651323002968,"(35, 70]"
46,"70 - 79 años",49.1388664365497,"(35, 70]"
46,"80 años o más",55.0441267368159,"(35, 70]"
47,"00 - 09 años",17.3489719419808,"(7, 35]"
47,"10 - 19 años",30.8474413849115,"(7, 35]"
47,"20 - 29 años",63.4796826209898,"(35, 70]"
47,"30 - 39 años",62.2474188103321,"(35, 70]"
47,"40 - 49 años",55.985824053282,"(35, 70]"
47,"50 - 59 años",60.1290940001291,"(35, 70]"
47,"60 - 69 años",53.3813155417788,"(35, 70]"
47,"70 - 79 años",45.4283806035857,"(35, 70]"
47,"80 años o más",45.1691006777194,"(35, 70]"
48,"00 - 09 años",18.0364603406141,"(7, 35]"
48,"10 - 19 años",32.1937995454853,"(7, 35]"
48,"20 - 29 años",60.0518444356485,"(35, 70]"
48,"30 - 39 años",64.8204440711725,"(35, 70]"
48,"40 - 49 años",60.7977025189802,"(35, 70]"
48,"50 - 59 años",62.02790749487,"(35, 70]"
48,"60 - 69 años",53.2704509196775,"(35, 70]"
48,"70 - 79 años",48.5371660312042,"(35, 70]"
48,"80 años o más",49.3751302954827,"(35, 70]"
49,"00 - 09 años",18.2386628108004,"(7, 35]"
49,"10 - 19 años",35.4804974080625,"(35, 70]"
49,"20 - 29 años",66.8105065180667,"(35, 70]"
49,"30 - 39 años",71.8137947801234,"(70, 150]"
49,"40 - 49 años",67.8245726593648,"(35, 70]"
49,"50 - 59 años",69.2012029194468,"(35, 70]"
49,"60 - 69 años",58.1484942921349,"(35, 70]"
49,"70 - 79 años",56.058421098023,"(35, 70]"
49,"80 años o más",51.7524513837837,"(35, 70]"
50,"00 - 09 años",19.8967230663277,"(7, 35]"
50,"10 - 19 años",37.7772260349237,"(35, 70]"
50,"20 - 29 años",76.964668689738,"(70, 150]"
50,"30 - 39 años",79.3679330459242,"(70, 150]"
50,"40 - 49 años",69.3139636130333,"(35, 70]"
50,"50 - 59 años",73.3785926078769,"(70, 150]"
50,"60 - 69 años",57.4278742484764,"(35, 70]"
50,"70 - 79 años",64.4822267728601,"(35, 70]"
50,"80 años o más",64.9191527959125,"(35, 70]"
51,"00 - 09 años",21.554783321855,"(7, 35]"
51,"10 - 19 años",43.9150352963631,"(35, 70]"
51,"20 - 29 años",93.6834643672987,"(70, 150]"
51,"30 - 39 años",95.4328471745049,"(70, 150]"
51,"40 - 49 años",86.4992438476697,"(70, 150]"
51,"50 - 59 años",92.4511192661634,"(70, 150]"
51,"60 - 69 años",74.5010260520775,"(70, 150]"
51,"70 - 79 años",72.7054656459154,"(70, 150]"
51,"80 años o más",69.1251824136758,"(35, 70]"
52,"00 - 09 años",21.2716998635942,"(7, 35]"
52,"10 - 19 años",43.7566402186486,"(35, 70]"
52,"20 - 29 años",96.7232453995825,"(70, 150]"
52,"30 - 39 años",101.436572783133,"(70, 150]"
52,"40 - 49 años",86.9957074988925,"(70, 150]"
52,"50 - 59 años",90.088151361597,"(70, 150]"
52,"60 - 69 años",77.3835062267115,"(70, 150]"
52,"70 - 79 años",66.5881781915694,"(35, 70]"
52,"80 años o más",67.1136030312672,"(35, 70]"
53,"00 - 09 años",26.9738095228467,"(7, 35]"
53,"10 - 19 años",61.3384938449653,"(35, 70]"
53,"20 - 29 años",131.09864154126,"(70, 150]"
53,"30 - 39 años",136.766188864672,"(70, 150]"
53,"40 - 49 años",114.148450269618,"(70, 150]"
53,"50 - 59 años",122.747743471141,"(70, 150]"
53,"60 - 69 años",101.05310304534,"(70, 150]"
53,"70 - 79 años",93.7649798330081,"(70, 150]"
53,"80 años o más",99.6646148556966,"(70, 150]"
54,"00 - 09 años",37.973623900979,"(35, 70]"
54,"10 - 19 años",91.9483426133049,"(70, 150]"
54,"20 - 29 años",194.060914624839,"(150, 250]"
54,"30 - 39 años",190.964656859042,"(150, 250]"
54,"40 - 49 años",160.930602019461,"(150, 250]"
54,"50 - 59 años",166.378257994743,"(150, 250]"
54,"60 - 69 años",139.301397670291,"(70, 150]"
54,"70 - 79 años",127.961619536811,"(70, 150]"
54,"80 años o más",127.64385535647,"(70, 150]"
55,"00 - 09 años",35.0619083302969,"(35, 70]"
55,"10 - 19 años",85.0581567327214,"(70, 150]"
55,"20 - 29 años",186.332109659777,"(150, 250]"
55,"30 - 39 años",185.851593840705,"(150, 250]"
55,"40 - 49 años",171.165391136978,"(150, 250]"
55,"50 - 59 años",177.09600527617,"(150, 250]"
55,"60 - 69 años",148.724890548902,"(70, 150]"
55,"70 - 79 años",138.190526427685,"(70, 150]"
55,"80 años o más",126.729501091739,"(70, 150]"
56,"00 - 09 años",38.0140643950163,"(35, 70]"
56,"10 - 19 años",88.4240521341559,"(70, 150]"
