"fecha";"r.estimado";"r.liminf";"r.lisup";"r.liminf80";"r.lisup80"
"2020-05-25";1.06583599748669;1.02678221500513;1.10488977996825;1.04030094987034;1.09137104510303
"2020-05-26";1.04882154324191;1.01446669894996;1.08317638753385;1.02635930534007;1.07128378114375
"2020-05-27";1.01452781831497;0.985352620072608;1.04370301655734;0.995452715213353;1.03360292141659
"2020-05-28";1.02051369185837;0.994613904972936;1.04641347874379;1.00358078133431;1.03744660238242
"2020-05-29";1.00655803708586;0.982503780777365;1.03061229339435;0.990832744374149;1.02228332979757
"2020-05-30";0.999273009855458;0.976385494860228;1.02216052485069;0.984310589716755;1.01423542999416
"2020-05-31";0.995499058082341;0.973234076321136;1.01776403984355;0.980943554034911;1.01005456212977
"2020-06-01";1.02100661068412;0.998658232241168;1.04335498912706;1.00639704208991;1.03561617927833
"2020-06-02";1.01270363575304;0.993859394683451;1.03154787682263;1.00038761539503;1.02501965611104
"2020-06-03";0.997693734952721;0.980263017866052;1.01512445203939;0.986302374912731;1.00908509499271
"2020-06-04";0.983035283341284;0.965616344620006;1.00045422206256;0.971650982359778;0.994419584322791
"2020-06-05";0.983618671227171;0.964416564758173;1.00282077769617;0.971067064745561;0.99617027770878
"2020-06-06";0.977067861010054;0.957628632938941;0.996507089081168;0.964360864074795;0.989774857945314
"2020-06-07";0.969067218041186;0.948983184152363;0.989151251930009;0.955937709136962;0.982196726945411
"2020-06-08";0.923964181658848;0.90248334710647;0.945445016211226;0.909921630034569;0.938006733283127
"2020-06-09";0.921149368556627;0.889207370625548;0.953091366487706;0.900264706228048;0.942034030885207
"2020-06-10";0.933337469151703;0.896429272543492;0.970245665759914;0.909205221583267;0.957469716720139
"2020-06-11";0.931864901630417;0.896494618233922;0.967235185026911;0.908738377975988;0.954991425284846
"2020-06-12";0.926128991602525;0.891210731476786;0.961047251728263;0.903298374639379;0.948959608565671
"2020-06-13";0.930947492861195;0.895418621470939;0.966476364251451;0.907717338849826;0.954177646872563
"2020-06-14";0.937158441997538;0.902851574331988;0.971465309663088;0.914727246456981;0.959589637538094
"2020-06-15";0.934378628318647;0.901923295885534;0.96683396075176;0.913158656882132;0.955598599755163
"2020-06-16";0.945638796761617;0.913480436564102;0.977797156959132;0.924612896561159;0.966664696962075
"2020-06-17";0.933776807171764;0.904649236399397;0.962904377944132;0.914733080646444;0.952820533697084
"2020-06-18";0.941257456189617;0.911029160082038;0.971485752297197;0.921493524034817;0.961021388344417
"2020-06-19";0.934323146245173;0.905444593679919;0.963201698810427;0.91544197378805;0.953204318702296
"2020-06-20";0.931539749359643;0.901691654436821;0.961387844282465;0.912024699337786;0.951054799381499
"2020-06-21";0.92227622434242;0.891691931260148;0.952860517424692;0.902279827461838;0.942272621223002
