"fecha";"region";"media.estimado";"media.linf";"media.lsup"
2020-05-31;4;7.89819108514447;7.49570256268197;8.32113431427637
2020-06-07;4;7.22541909010855;6.78864534889902;7.69919708925383
2020-06-14;4;5.76557459917377;5.37839636594874;6.19831097207408
2020-06-21;4;5.40017273585954;5.02835987602239;5.81008888312595
2020-06-28;4;5.38554290208794;5.02516355192991;5.77680933802444
2020-07-05;4;5.55484462537517;5.19369708459716;5.95054085565543
2020-07-12;4;5.91022484751606;5.61683961289742;6.22484127046833
2020-07-19;4;5.66950017987344;5.40671183586928;5.95498093517128
2020-07-26;4;5.74321500325662;5.01410798686904;7.27091522221563
2020-08-02;4;7.56179324857696;5.77947808785148;10.2572094679788
2020-08-09;4;5.65743093808774;4.97242904706296;7.84349163943387
2020-08-16;4;6.32967272700843;3.88423239649196;11.2019981359868
2020-03-08;5;15.4877663734912;13.7881461394691;17.2260954901449
2020-03-15;5;15.4877663734912;13.7881461394691;17.2260954901449
2020-03-22;5;13.5109588737727;11.9527328545231;15.151275176564
2020-03-29;5;14.1372388943818;12.5201643489523;15.8190291238854
2020-04-05;5;13.2759221730045;11.6329358842759;15.0057851583022
2020-04-12;5;11.6050329547954;10.1081309713526;13.2126482755933
2020-04-19;5;10.6294518666195;9.15442976294365;12.2573405589767
2020-04-26;5;9.67822184237371;8.54151995016156;10.9059613393895
2020-05-03;5;9.98243815881997;9.22303669717574;10.7873052932226
2020-05-10;5;8.58822573584919;8.04304172629323;9.16914397863935
2020-05-17;5;9.26746975978653;8.87032666407777;9.67811921865357
2020-05-24;5;8.69557214004831;8.42977574197472;8.97193354881853
2020-05-31;5;7.0984308989064;6.8780444846015;7.33101805317614
2020-06-07;5;6.47809159762207;6.27085611635226;6.69655743722714
2020-06-14;5;6.05970596132746;5.86434965842218;6.26498771768974
2020-06-21;5;5.76678045946894;5.5884985410444;5.95497095492823
2020-06-28;5;5.47804727156451;5.28226334002584;5.68952786218056
2020-07-05;5;5.44266631677409;5.23141649102352;5.67035713697546
2020-07-12;5;5.18271489686755;4.94565684773734;5.43576399764052
2020-07-19;5;5.11701896165917;4.89262313350844;5.36039142300083
2020-07-26;5;5.88128957470766;4.8726928537483;8.3658501618998
2020-08-02;5;7.51422316089835;5.67552454198507;10.1775458816656
2020-08-09;5;4.81429304012826;4.03386402447878;7.6090908288253
2020-08-16;5;5.87111809134997;3.43608320783569;10.586839580453
2020-03-08;6;14.7491778785515;12.9620406486561;16.5534090901024
2020-03-15;6;14.7491778785515;12.9620406486561;16.5534090901024
2020-03-22;6;13.844806360352;11.5992657850148;16.1926362805524
2020-03-29;6;13.4550622358189;11.0807135903225;15.9863995389935
2020-04-05;6;12.5251517526273;9.87638245865146;15.3501318116471
2020-04-12;6;13.1208678131431;10.4384728535077;16.0500090400583
2020-04-19;6;13.7149686667009;11.2536303647214;16.3099402944293
2020-04-26;6;10.366929651854;8.4014042602392;12.455295718265
2020-05-03;6;11.0018349106727;9.37794996248273;12.7859589761285
2020-05-10;6;8.78062501986975;7.81630927711499;9.83028970726383
2020-05-17;6;10.1677986847916;9.44306957307688;10.923976322724
2020-05-24;6;12.8714350743036;12.2516735771661;13.4911161845576
2020-05-31;6;11.0541169179353;10.5539141547212;11.5670570342702
2020-06-07;6;8.76515607375557;8.40967926422881;9.14186393392981
2020-06-14;6;6.45330196036034;6.21592975674373;6.71000384560714
2020-06-21;6;4.76281688539631;4.60377439086565;4.93257544218818
2020-06-28;6;5.03069165647612;4.83765975805961;5.23537501801761
2020-07-05;6;4.67096895018775;4.46014471437113;4.89862940132243
2020-07-12;6;4.35511925385786;4.11981230832621;4.61071261984334
2020-07-19;6;4.65455046735148;4.3885418823859;4.94519944217855
2020-07-26;6;5.55939625769131;4.42371327788651;8.24332272677693
2020-08-02;6;6.5915296717079;5.05844931076991;8.93585246858088
2020-08-09;6;4.67347436526376;3.32135241834976;10.4236661366111
2020-08-16;6;4.43527683764564;2.63722453818028;9.3804590175752
2020-03-08;7;14.2940686178604;12.6929729959042;15.9368729457632
2020-03-15;7;14.2940686178604;12.6929729959042;15.9368729457632
2020-03-22;7;12.6171523228644;10.3804141306838;15.0270005257869
2020-03-29;7;10.2607334289748;8.67596962630879;12.0018456145925
2020-04-05;7;10.1601236258901;8.35543779828618;12.1211083167272
2020-04-12;7;9.65490567515374;8.22382457642933;11.2535187279587
2020-04-19;7;5.61259478665015;4.66681137850521;6.70561762859697
2020-04-26;7;8.67306023658887;7.06785060089225;10.5174749398634
2020-05-03;7;10.3786894072826;8.85793059295015;12.0631090310544
2020-05-10;7;8.69509895299067;7.62395234804967;9.89261451501146
2020-05-17;7;7.71063023177273;7.07796176079228;8.41677414383593
2020-05-24;7;6.01389344649845;5.65391936349533;6.40748057017397
2020-05-31;7;6.02863108446913;5.75367911779936;6.33388452242793
2020-06-07;7;5.73655259914289;5.4494058802452;6.05068902592125
2020-06-14;7;5.6051132833356;5.39157646286065;5.8370610756768
2020-06-21;7;4.52146157323184;4.33577903629159;4.72645245806408
2020-06-28;7;4.07890201434816;3.86687590710149;4.31646543834236
2020-07-05;7;4.28942434154304;4.029474056483;4.58595539595168
2020-07-12;7;4.02079736617323;3.77224035663611;4.29292712867991
2020-07-19;7;4.17023411416792;3.91265416174251;4.45825653239501
2020-07-26;7;4.46262044865974;3.86201142908887;5.81440261360909
2020-08-02;7;6.63057315144363;4.56231325461716;9.75282885914222
2020-08-09;7;3.79197108114201;3.39621908072737;5.27525895047135
2020-08-16;7;5.21838080346724;3.01986280656269;10.2977067934214
2020-03-08;8;13.583177463425;12.1474993760743;15.0496667374087
2020-03-15;8;13.583177463425;12.1474993760743;15.0496667374087
2020-03-22;8;9.64785522912362;8.66369861531622;10.7269660081581
2020-03-29;8;8.93812376407273;7.86442047899199;10.1272938101303
2020-04-05;8;8.15809153579581;6.97996813160155;9.45421181485741
2020-04-12;8;8.17731467949577;6.88602530913946;9.63753839581608
2020-04-19;8;6.55005052661977;5.35593782750514;7.92458421220381
2020-04-26;8;8.0188924692495;6.45792781589725;9.78218501472661
2020-05-03;8;9.41924720606043;7.95156698456614;11.065955190044
2020-05-10;8;6.64987182810601;5.83913351701022;7.55722557568786
2020-05-17;8;6.53376223491885;5.75105649114376;7.40359705605736
2020-05-24;8;5.72953562087188;5.26917573159449;6.22948293856449
2020-05-31;8;4.57133490525873;4.21290004640515;4.96331580608547
2020-06-07;8;5.35333201980661;4.96592078244437;5.77077658882715
2020-06-14;8;4.56766339366306;4.32199341724407;4.82969667930565
2020-06-21;8;4.01330909001102;3.83005363644933;4.21419790941237
2020-06-28;8;4.02252841164044;3.79840880891013;4.26809223723639
