"fecha";"region";"provincia";"media.estimado";"media.linf";"media.lsup"
2020-07-19;"05";"055";6.32363258417371;5.77417611347751;6.95638234329187
2020-07-26;"05";"055";6.94557448862986;5.78318162459302;9.23333414412138
2020-08-02;"05";"055";8.47912768382174;6.37175736008439;11.5757928554138
2020-08-09;"05";"055";5.78672980622279;4.00670967330186;11.580868044617
2020-08-16;"05";"055";5.78817763925364;4.003740621986;9.84233912233552
2020-03-08;"05";"056";15.1469893252143;13.3550901475305;16.9549356799975
2020-03-15;"05";"056";15.1469893252143;13.3550901475305;16.9549356799975
2020-03-22;"05";"056";13.7932433185048;11.2630519540608;16.4678485539763
2020-03-29;"05";"056";14.7680826332834;12.273042802654;17.3648980776584
2020-04-05;"05";"056";12.4060051719617;10.2226567260859;14.738001490252
2020-04-12;"05";"056";12.4536451996806;10.094136021359;14.9554760096908
2020-04-19;"05";"056";11.484396380302;9.46423382701306;13.6748405227176
2020-04-26;"05";"056";11.3512327135847;9.58208028716285;13.2871202381611
2020-05-03;"05";"056";10.234264335909;9.11110748094941;11.5085872938004
2020-05-10;"05";"056";9.20825178936288;8.02851637666618;10.5523124224033
2020-05-17;"05";"056";9.01673377483532;8.10650105753089;10.0256675157927
2020-05-24;"05";"056";9.20103629695675;8.44625287163931;10.0359242663284
2020-05-31;"05";"056";7.17191193732024;6.49656113686734;7.93509976771762
2020-06-07;"05";"056";7.99486460433589;7.27164537279384;8.77399637337729
2020-06-14;"05";"056";8.24495427630691;7.61797357988299;8.96678945287743
2020-06-21;"05";"056";7.35110883445593;6.53748184486561;8.27940331784376
2020-06-28;"05";"056";6.65021160566799;5.83831254010924;7.60002172083392
2020-07-05;"05";"056";6.64965807098339;5.72980565247556;7.72151978715138
2020-07-12;"05";"056";7.02950423006201;5.90719058746378;8.33238927460885
2020-07-19;"05";"056";6.33014384784207;5.28944450753229;7.55690876138851
2020-07-26;"05";"056";7.10358758334271;5.15464794346246;10.486156836815
2020-08-02;"05";"056";7.17339545556362;4.8854440938548;10.6453674768458
2020-08-09;"05";"056";9.32790558423429;4.34506425065272;17.0691498755192
2020-08-16;"05";"056";4.71938044755824;2.48559539780126;10.0453980698349
2020-03-08;"05";"057";14.9216424155715;13.1214401513341;16.7255844033885
2020-03-15;"05";"057";14.9216424155715;13.1214401513341;16.7255844033885
2020-03-22;"05";"057";14.7431222953847;12.0777550594799;17.4944634016052
2020-03-29;"05";"057";13.9456369747413;11.2429458710495;16.7439280316922
2020-04-05;"05";"057";14.921474459979;12.0505413880424;17.813086669053
2020-04-12;"05";"057";14.3572858582746;11.5610827067248;17.2222570229471
2020-04-19;"05";"057";14.1623198346886;11.2150231010728;17.2158856594406
2020-04-26;"05";"057";12.9067271210294;10.4233803681551;15.6228546917638
2020-05-03;"05";"057";12.5621590954494;10.1457632001356;15.1480656897453
2020-05-10;"05";"057";11.433410937989;9.46735028124511;13.5628559323906
2020-05-17;"05";"057";9.6343442335024;8.4555629888925;10.919874656327
2020-05-24;"05";"057";9.71708110560377;8.77458510298761;10.7282140750925
2020-05-31;"05";"057";8.45030946922103;7.72539183731069;9.25936417040757
2020-06-07;"05";"057";6.41249669335818;5.79592222895953;7.11947778716098
2020-06-14;"05";"057";6.15776997681011;5.52042232172129;6.88638431919177
2020-06-21;"05";"057";6.63504193202313;5.83266852130331;7.5628683766406
2020-06-28;"05";"057";6.4496925533309;5.62875889252998;7.40220921788691
2020-07-05;"05";"057";6.97332672272759;5.91640952193897;8.17439094549954
2020-07-12;"05";"057";6.6416886604753;5.67043947663735;7.76496702923383
2020-07-19;"05";"057";6.87363186253416;5.73836775945802;8.19926797033798
2020-07-26;"05";"057";6.15965101038451;4.40440849849634;9.33435999955551
2020-08-02;"05";"057";7.60201620446259;5.1309372907016;11.1528507695005
2020-08-09;"05";"057";4.72005122561656;3.31125834714906;8.56880249576027
2020-08-16;"05";"057";8.31221228497672;3.02586146330661;17.2124920377594
2020-03-08;"05";"058";15.2216008820665;13.3963775812136;17.0656164068897
2020-03-15;"05";"058";15.2216008820665;13.3963775812136;17.0656164068897
2020-03-22;"05";"058";14.6300572784505;12.051692323149;17.234138412159
2020-03-29;"05";"058";13.9326626064174;11.3833920785561;16.5899166768721
2020-04-05;"05";"058";13.7025359977609;11.126604151215;16.4266983569677
2020-04-12;"05";"058";12.8733508129479;10.4245176916889;15.5002826259438
2020-04-19;"05";"058";13.4582334013245;10.9225195616333;16.1576690655376
2020-04-26;"05";"058";12.3967808681377;10.260452421654;14.712855731835
2020-05-03;"05";"058";12.0351572596783;10.2944834316607;13.953444843627
2020-05-10;"05";"058";9.2454474147141;8.16217216114975;10.4611376019167
2020-05-17;"05";"058";10.3449977484197;9.47106807012928;11.298010066582
2020-05-24;"05";"058";9.64629613716847;8.88716125805771;10.4983046486235
2020-05-31;"05";"058";7.66167526916956;6.97328477283813;8.4290867254689
2020-06-07;"05";"058";7.70917030089707;7.11842466210265;8.36473634659085
2020-06-14;"05";"058";7.11721965482607;6.51692856035129;7.78316323283297
2020-06-21;"05";"058";6.67824381954748;6.20507507372779;7.19679089277323
2020-06-28;"05";"058";6.47273092830135;5.91570511283126;7.10228102155434
2020-07-05;"05";"058";6.1209830566546;5.59205484663102;6.72131422910991
2020-07-12;"05";"058";6.39803648882996;5.6652899325598;7.23113557567353
2020-07-19;"05";"058";6.7748831026034;6.01040270937016;7.63957254179302
2020-07-26;"05";"058";6.76003211281866;5.24089936153924;9.62378112734315
2020-08-02;"05";"058";8.59558666430892;6.3570043924772;11.678252086924
2020-08-09;"05";"058";5.57367146576192;4.19782206471871;9.33548901024282
2020-08-16;"05";"058";7.01022164619204;3.82781493269709;12.5457598573181
2020-03-08;"13";"131";15.3817004388167;14.5433083477449;16.2373944703608
2020-03-15;"13";"131";15.3817004388167;14.5433083477449;16.2373944703608
2020-03-22;"13";"131";13.2337225999572;12.6392261941134;13.843941349278
2020-03-29;"13";"131";11.8341896169413;11.1922343289126;12.4921576490574
2020-04-05;"13";"131";10.95252385051;10.3467015583954;11.5711292958556
2020-04-12;"13";"131";9.16579843883765;8.65234341481202;9.6930683601862
2020-04-19;"13";"131";7.89282969765572;7.52356831338707;8.27378464237994
2020-04-26;"13";"131";7.54562441225675;7.32215719318978;7.7746970279636
2020-05-03;"13";"131";8.08985707574061;7.94367973403701;8.24052690229316
2020-05-10;"13";"131";8.38826640767105;8.29078517913223;8.48570448064286
2020-05-17;"13";"131";8.7731075602881;8.69702480094972;8.85009177502344
2020-05-24;"13";"131";8.45899445882039;8.39448963800154;8.52404560685169
2020-05-31;"13";"131";7.51816727677781;7.45642207246349;7.58066510977028
2020-06-07;"13";"131";6.89702996651383;6.82754406132679;6.97086694722243
2020-06-14;"13";"131";5.71620882859898;5.65455231267178;5.77942831630769
2020-06-21;"13";"131";5.33100446632262;5.26464985159749;5.39827609317737
2020-06-28;"13";"131";4.88053667731806;4.80386576363849;4.9586295456228
2020-07-05;"13";"131";4.95593869162141;4.86637592171027;5.04757986234879
2020-07-12;"13";"131";4.66515798432147;4.56487177982287;4.77043474522802
2020-07-19;"13";"131";4.66083033428376;4.54460318042411;4.78241793081951
2020-07-26;"13";"131";5.01737752785973;4.42169787212422;6.8311736581832
2020-08-02;"13";"131";6.40235600888301;4.71451026254687;8.90880524947661
2020-08-09;"13";"131";4.49026162627468;3.81504263484507;8.5960158381832
2020-08-16;"13";"131";5.10266874522527;2.84486755923519;9.45030768494365
2020-03-08;"13";"132";15.8477128600035;14.1097303807082;17.5983589280311
2020-03-15;"13";"132";15.8477128600035;14.1097303807082;17.5983589280311
2020-03-22;"13";"132";14.9824153714036;13.2192158987018;16.7749656602216
2020-03-29;"13";"132";11.4407452772168;10.0561944643574;12.9105277401326
2020-04-05;"13";"132";11.3192019918545;10.0886999127267;12.6264607584436
2020-04-12;"13";"132";9.20717830440739;8.18352423645256;10.3276432519619
2020-04-19;"13";"132";7.92723888988999;7.09067287205893;8.81906729275406
2020-04-26;"13";"132";7.72427984332649;7.08843605890191;8.4117813822569
2020-05-03;"13";"132";7.52064384167498;7.11211515113965;7.95826570053596
2020-05-10;"13";"132";8.71972833789468;8.42258161624034;9.02837827000968
2020-05-17;"13";"132";7.82846864137914;7.63430453368715;8.03031998618061
2020-05-24;"13";"132";7.59627884528608;7.43589683607017;7.76296966848817
2020-05-31;"13";"132";7.11960505323958;6.95528582540397;7.29153459398463
2020-06-07;"13";"132";6.43470710701053;6.24868709030428;6.62132496713736
2020-06-14;"13";"132";5.77622771394455;5.60772517820791;5.95391632149179
2020-06-21;"13";"132";5.73682758655337;5.53472736589199;5.950780811095
2020-06-28;"13";"132";5.31041242038244;5.09653602945247;5.53749474458221
2020-07-05;"13";"132";5.19594428153951;4.93211125707234;5.48873491915821
2020-07-12;"13";"132";5.38550023660568;5.07200384959474;5.7335108329711
2020-07-19;"13";"132";5.37771341401791;5.02229119917504;5.77913000956687
2020-07-26;"13";"132";6.40787395986102;5.25741513686688;8.86574189114591
2020-08-02;"13";"132";6.7999478343357;5.28598879664135;9.21953815417108
2020-08-09;"13";"132";5.07365093670224;3.78221347812118;8.87890815423809
2020-08-16;"13";"132";4.84329268025468;2.49720367675568;10.8411322165018
2020-03-08;"13";"133";15.2836833635549;13.5239934731814;17.0631830066421
2020-03-15;"13";"133";15.2836833635549;13.5239934731814;17.0631830066421
2020-03-22;"13";"133";13.7273173811951;11.6536125608649;15.9116135744272
